Checkbox,Icon,Selected,Item code,Tag,Description,Quantity kg/l/nos,Ex. Works Price,CIF,Duty Free,Duty Paid,Export
,,no,OLBK0001,1 - Oil,Unhibited Mineral Oil,1,,,,,
,,no,OLBK0002,1 - Oil,Inhibited Mineral Oil,1,,,,,
,,no,LV FOIL,2 - LV Foil,215 x 0.19,1,,,,,
,,no,LV FOIL,2 - LV Foil,240 x 0.27,1,,,,,
,,no,LV FOIL,2 - LV Foil,275 x 0.40,1,,,,,
,,no,LV FOIL,2 - LV Foil,275 x 0.27,1,,,,,
,,no,LV FOIL,2 - LV Foil,280 x 0.25,1,,,,,
,,no,LV FOIL,2 - LV Foil,280 x 0.27,1,,,,,
,,no,LV FOIL,2 - LV Foil,280 x 0.4,1,,,,,
,,no,LV FOIL,2 - LV Foil,320 x 0.40,1,,,,,
,,no,LV FOIL,2 - LV Foil,330 x 0.55,1,,,,,
,,no,LV FOIL,2 - LV Foil,370 x 0.50,1,,,,,
,,no,LV FOIL,2 - LV Foil,405 x 0.75,1,,,,,
,,no,LV FOIL,2 - LV Foil,410 x 0.70,1,,,,,
,,no,LV FOIL,2 - LV Foil,425 x 0.85,1,,,,,
,,no,LV FOIL,2 - LV Foil,530 x 0.80,1,,,,,
,,no,LV FOIL,2 - LV Foil,540 x 0.90,1,,,,,
,,no,LV FOIL,2 - LV Foil,540 x 0.9,1,,,,,
,,no,LV FOIL,2 - LV Foil,540 x 1,1,,,,,
,,no,LV FOIL,2 - LV Foil,565 x 0.90,1,,,,,
,,no,LV FOIL,2 - LV Foil,630 x 0.45,1,,,,,
,,no,LV FOIL,2 - LV Foil,630 x 0.45 x 2,1,,,,,
,,no,LV FOIL,2 - LV Foil,630 x 0.95,1,,,,,
,,no,LV FOIL,2 - LV Foil,650 x 0.5,1,,,,,
,,no,LV FOIL,2 - LV Foil,650 x 0.50 x 2,1,,,,,
,,no,LV FOIL,2 - LV Foil,650 x 1,1,,,,,
,,no,LV FOIL,2 - LV Foil,675 x 0.9,1,,,,,
,,no,LV FOIL,2 - LV Foil,685 x 0.6,1,,,,,
,,no,LV FOIL,2 - LV Foil,685 x 0.60 x 2,1,,,,,
,,no,LV FOIL,2 - LV Foil,755 x 0.7,1,,,,,
,,no,LV FOIL,2 - LV Foil,755 x 0.70 x 2,1,,,,,
,,no,LV FOIL,2 - LV Foil,760 x 0.8,1,,,,,
,,no,LV FOIL,2 - LV Foil,760 x 0.80 x 2,1,,,,,
,,no,LV FOIL,2 - LV Foil,760 x 0.95,1,,,,,
,,no,LV FOIL,2 - LV Foil,800 x 1.35,1,,,,,
,,no,LV FOIL,2 - LV Foil,800 x 1.35 x 2,1,,,,,
,,no,CRGO,23ZDKH 75,,1,,,,,
,,no,,27ZH100,,1,,,,,
,,no,,3 - Rec. Cu.,3.5 x 11.5,1,,,,,
,,no,,3 - Rec. Cu.,3.5 x 17.5,1,,,,,
,,no,,3 - Rec. Cu.,3.5 x 9.5,1,,,,,
,,no,,3 - Rec. Cu.,4.5 x 10,1,,,,,
,,no,,30 - Dispath,Wooden Pallete For Packing,1,,,,,
,,no,Busbar,4 - BusBar,25 x 3,1,,,,,
,,no,Busbar,4 - BusBar,38 x 4,1,,,,,
,,no,Busbar,4 - BusBar,40 x 6,1,,,,,
,,no,Busbar,4 - BusBar,50 x 6,1,,,,,
,,no,Busbar,4 - BusBar,60 x 5,1,,,,,
,,no,Busbar,4 - BusBar,60 x 8,1,,,,,
,,no,Busbar,4 - BusBar,75 x 6,1,,,,,
,,no,Busbar,4 - BusBar,80 x 8,1,,,,,
